open_position_time	option_type	pnl_15747	pnl_15776	delta
2023-01-25 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-01-28 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-01-28 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-01-29 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-02 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-03 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-02-06 12:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-08 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-02-10 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-02-12 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-13 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-13 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-15 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-20 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-02-22 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-22 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-02-23 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-26 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-02-28 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-03-02 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-03-03 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-03-06 08:00:00	long	0.00000000	0.00000000	0.00000000
2023-03-07 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-03-13 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-03-20 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-03-21 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-03-31 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-04-03 08:00:00	short	0.00000000	0.00000000	0.00000000
2023-04-04 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-04-07 12:00:00	short	0.00000000	0.00000000	0.00000000
2023-04-13 16:00:00	long	0.00000000	0.00000000	0.00000000
2023-04-19 16:00:00	short	0.00000000	0.00000000	0.00000000
2023-04-21 12:00:00	long	0.00000000	0.00000000	0.00000000
