open_position_time	side_15776	side_15777	pnl_15776	pnl_15777	delta
2022-09-03 00:00:00	short	short	-9.58068309	-10.14590648	-0.56522339
2022-09-07 00:00:00	short	short	-9.19074929	-9.73296808	-0.54221879
2022-09-13 20:00:00	short	short	-1.41155912	-1.49483567	-0.08327655
2022-09-15 16:00:00	short	short	28.58623018	30.27270762	1.68647744
2022-09-19 00:00:00	long	long	-7.48468633	-7.92625398	-0.44156765
2022-10-07 20:00:00	short	short	3.54613996	3.75534855	0.20920859
2022-10-11 20:00:00	short	short	16.39447009	17.36168066	0.96721057
2022-10-14 00:00:00	short	short	-7.86708319	-8.33121078	-0.46412759
2022-10-14 20:00:00	short	short	-0.45438706	-0.48119414	-0.02680708
2022-10-17 12:00:00	long	long	-2.09922551	-2.22307172	-0.12384621
2022-10-20 20:00:00	short	short	1.98856241	2.10587993	0.11731752
2022-10-21 00:00:00	short	short	2.22555129	2.35685024	0.13129895
2022-10-21 20:00:00	long	long	4.76672721	5.04794575	0.28121854
2022-10-24 00:00:00	long	long	2.39773951	2.53919690	0.14145739
2022-10-24 04:00:00	long	long	28.19901894	29.86265240	1.66363346
2022-10-28 04:00:00	short	short	-9.26963658	-9.81650942	-0.54687284
2022-10-29 08:00:00	short	short	5.88188908	6.22889787	0.34700879
2022-10-31 20:00:00	short	short	-9.59103430	-10.15686837	-0.56583407
2022-11-03 08:00:00	long	long	10.92628480	11.57089351	0.64460871
2022-11-07 00:00:00	short	short	3.81507730	4.04015217	0.22507487
2022-11-08 04:00:00	short	short	45.70566696	48.40212521	2.69645825
2022-11-13 12:00:00	short	short	2.62970501	2.78484747	0.15514246
2022-11-13 16:00:00	long	long	-7.62978423	-8.07991210	-0.45012787
2022-12-02 20:00:00	short	short	4.07773452	4.31830514	0.24057062
2022-12-04 04:00:00	short	short	-13.51075521	-14.30783771	-0.79708250
2022-12-07 12:00:00	short	short	-12.96086747	-13.72550872	-0.76464125
2022-12-12 00:00:00	short	short	1.70437825	1.80493000	0.10055175
2022-12-13 16:00:00	long	long	-5.19728054	-5.50390006	-0.30661952
2022-12-16 16:00:00	short	short	8.16690860	8.64872474	0.48181614
