"symbol","signal_time_shanghai","entry_time_shanghai","exit_time_shanghai","direction","exit_policy","exit_reason","zero_net_r","stress_net_r","cost_r","loss_class","initial_risk","entry_price","exit_price","rsi","volume_ratio","families"
"ICP-USDT-SWAP","2025-12-29 22:30","2025-12-29 22:45","2025-12-29 22:45","long","DivergenceRegime","stop_loss",-1.0,-1.1401882352941186,0.1401882352941186,"gross_loss",0.03399999999999981,2.996,2.962,39.24017721370101,3.5522130656513746,"rsi_bullish_divergence"
"ZRO-USDT-SWAP","2025-09-16 00:00","2025-09-16 00:15","2025-09-16 12:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.140181132075471,0.1401811320754709,"gross_loss",0.021200000000000108,1.868,1.8468,32.01660184428573,3.8189138676776846,"rsi_bullish_divergence"
"MEW-USDT-SWAP","2025-12-29 20:15","2025-12-29 20:30","2025-12-29 23:00","long","DivergenceRegime","stop_loss",-1.0,-1.1400989690721655,0.14009896907216546,"gross_loss",0.000009699999999999965,0.0008542,0.0008445,27.86531425333422,3.716127619186683,"rsi_bullish_divergence"
"RENDER-USDT-SWAP","2026-02-16 01:45","2026-02-16 02:00","2026-02-16 03:00","long","DivergenceRegime","stop_loss",-1.0,-1.1391999999999998,0.13919999999999977,"gross_loss",0.016000000000000014,1.4,1.384,28.17327084979462,13.22734284612418,"rsi_bullish_divergence"
"ONE-USDT-SWAP","2025-09-15 22:00","2025-09-15 22:15","2025-09-15 23:30","long","DivergenceRegime","stop_loss",-1.0,-1.1387630252100849,0.13876302521008488,"gross_loss",0.00011899999999999931,0.01038,0.010261000000000001,33.472816518003484,3.0010394521721415,"rsi_bullish_divergence"
"POL-USDT-SWAP","2025-07-29 02:00","2025-07-29 02:15","2025-07-29 05:15","long","DivergenceRegime","stop_loss",-1.0,-1.137381818181818,0.13738181818181805,"gross_loss",0.0026400000000000035,0.228,0.22536,25.195326017204607,4.58356644270738,"rsi_bullish_divergence"
"LAYER-USDT-SWAP","2026-02-16 01:45","2026-02-16 02:00","2026-02-16 03:00","long","DivergenceRegime","stop_loss",-1.0,-1.1371572815533977,0.13715728155339768,"gross_loss",0.0010300000000000031,0.08881,0.08778,33.57636400302496,6.841877341575079,"rsi_bullish_divergence"
"INIT-USDT-SWAP","2025-09-14 21:45","2025-09-14 22:00","2025-09-14 22:45","long","DivergenceRegime","stop_loss",-1.0,-1.136876190476191,0.13687619047619104,"gross_loss",0.0041999999999999815,0.3614,0.3572,31.21657185814776,8.12114337568058,"rsi_bullish_divergence"
"VIRTUAL-USDT-SWAP","2025-09-25 12:15","2025-09-25 12:30","2025-09-25 12:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.136617886178862,0.13661788617886206,"gross_loss",0.012299999999999978,1.0564,1.0441,32.75859505717092,3.264458387824251,"rsi_bullish_divergence"
"NEAR-USDT-SWAP","2026-01-26 02:00","2026-01-26 02:15","2026-01-26 02:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1360470588235303,0.1360470588235303,"gross_loss",0.016999999999999904,1.454,1.437,35.839848358335175,3.034507255423175,"rsi_bullish_divergence"
"INIT-USDT-SWAP","2025-09-01 10:45","2025-09-01 11:00","2025-09-01 12:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1353066666666676,0.13530666666666757,"gross_loss",0.0037499999999999756,0.319,0.31525000000000003,21.544857714954446,4.37999118122581,"rsi_bullish_divergence"
"ZRX-USDT-SWAP","2025-08-18 14:45","2025-08-18 15:00","2025-08-18 17:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1319891156462587,0.1319891156462587,"gross_loss",0.002939999999999998,0.244,0.24106,36.74233795033886,3.9397131388540894,"rsi_bullish_divergence"
"ONE-USDT-SWAP","2026-02-15 22:15","2026-02-15 22:30","2026-02-16 01:45","long","DivergenceRegime","stop_loss",-1.0,-1.1319483870967733,0.13194838709677326,"gross_loss",0.00003100000000000021,0.002572,0.002541,35.53064400006072,4.492107278973265,"rsi_bullish_divergence"
"IOST-USDT-SWAP","2025-10-11 03:30","2025-10-11 03:45","2025-10-11 04:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1318705202312136,0.1318705202312136,"gross_loss",0.00003460000000000008,0.002869,0.0028344,31.01633533489496,6.4766775504764444,"rsi_bullish_divergence"
"YFI-USDT-SWAP","2025-07-24 04:15","2025-07-24 04:30","2025-07-24 04:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1317176470588235,0.1317176470588235,"gross_loss",68.0,5632.0,5564.0,27.22329832536886,3.374045753156005,"rsi_bullish_divergence"
"PNUT-USDT-SWAP","2026-01-26 02:00","2026-01-26 02:15","2026-01-26 02:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1316761904761914,0.1316761904761914,"gross_loss",0.0008399999999999935,0.06955,0.06871000000000001,28.002855994002687,4.7727743709029395,"rsi_bullish_divergence"
"TURBO-USDT-SWAP","2026-05-12 22:30","2026-05-12 22:45","2026-05-12 23:15","long","DivergenceRegime","stop_loss",-1.0,-1.131002597402597,0.131002597402597,"gross_loss",0.00001540000000000005,0.0012686,0.0012531999999999999,36.098219831060106,6.388164719678859,"rsi_bullish_divergence"
"KSM-USDT-SWAP","2026-02-04 22:30","2026-02-04 22:45","2026-02-04 23:00","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1308266666666675,0.13082666666666753,"gross_loss",0.05999999999999961,4.936,4.876,29.5228645351566,3.349304438412857,"rsi_bullish_divergence"
"POPCAT-USDT-SWAP","2025-10-22 13:15","2025-10-22 13:30","2025-10-22 17:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1306157303370783,0.1306157303370783,"gross_loss",0.0017800000000000038,0.1462,0.14442,36.226364411508165,10.990662003016398,"rsi_bullish_divergence"
"POL-USDT-SWAP","2025-08-01 08:15","2025-08-01 08:30","2025-08-01 08:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1297060240963859,0.12970602409638587,"gross_loss",0.0024899999999999922,0.2031,0.20061,31.23968415848485,4.142024856171596,"rsi_bullish_divergence"
"BCH-USDT-SWAP","2026-05-28 14:00","2026-05-28 14:15","2026-05-28 18:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1296,0.12959999999999994,"gross_loss",4.0,326.0,322.0,30.07676861746566,3.5759631706236243,"rsi_bullish_divergence"
"MERL-USDT-SWAP","2026-03-31 01:15","2026-03-31 01:30","2026-03-31 02:00","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1287448275862075,0.12874482758620753,"gross_loss",0.0002899999999999986,0.02348,0.023190000000000002,27.827215521551906,5.208727565186645,"rsi_bullish_divergence"
"OP-USDT-SWAP","2026-05-28 09:15","2026-05-28 09:30","2026-05-28 11:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1283655629139075,0.12836556291390755,"gross_loss",0.0015099999999999975,0.1219,0.12039,29.112646863929342,4.26252948895197,"rsi_bullish_divergence"
"AUCTION-USDT-SWAP","2025-10-16 04:30","2025-10-16 04:45","2025-10-16 05:00","long","CounterTrendStructureV4","stop_loss",-1.0,-1.127908860759494,0.12790886075949404,"gross_loss",0.07899999999999974,6.355,6.276000000000001,37.5084614465591,8.70410148334279,"rsi_bullish_divergence"
"HBAR-USDT-SWAP","2025-10-11 03:30","2025-10-11 03:45","2025-10-11 04:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1274086956521736,0.1274086956521736,"gross_loss",0.0025300000000000045,0.20273,0.2002,30.96353466231004,3.088891435027285,"rsi_bullish_divergence"
"ATOM-USDT-SWAP","2025-07-23 21:15","2025-07-23 21:30","2025-07-23 21:30","long","DivergenceRegime","stop_loss",-1.0,-1.1261677419354834,0.1261677419354834,"gross_loss",0.06200000000000028,4.92,4.858,39.53300725229607,5.6027685178849,"rsi_bullish_divergence"
"CVX-USDT-SWAP","2026-02-27 04:00","2026-02-27 04:15","2026-02-27 04:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1254545454545453,0.12545454545454526,"gross_loss",0.02200000000000002,1.736,1.714,24.233090799193477,4.4472196041470315,"rsi_bullish_divergence"
"XRP-USDT-SWAP","2025-10-11 03:30","2025-10-11 03:45","2025-10-11 04:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1246970760233925,0.12469707602339253,"gross_loss",0.034199999999999786,2.6825,2.6483000000000003,35.37291886534679,4.3136837326548205,"rsi_bullish_divergence"
"MEW-USDT-SWAP","2025-09-15 22:00","2025-09-15 22:15","2025-09-15 23:15","long","DivergenceRegime","stop_loss",-1.0,-1.1244571428571433,0.12445714285714327,"gross_loss",0.000038499999999999906,0.003014,0.0029755000000000003,35.58040097984211,4.462804694553115,"rsi_bullish_divergence"
"YFI-USDT-SWAP","2025-07-24 04:30","2025-07-24 04:45","2025-07-24 05:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1240444444444444,0.1240444444444444,"gross_loss",72.0,5618.0,5546.0,25.336911778462664,7.162481959313385,"rsi_bullish_divergence"
"SATS-USDT-SWAP","2026-02-04 22:30","2026-02-04 22:45","2026-02-04 23:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1237917159763315,0.12379171597633154,"gross_loss",1.6899999999999973E-10,1.316E-8,1.2991E-8,38.094826905209885,5.293558271404923,"rsi_bullish_divergence"
"EIGEN-USDT-SWAP","2026-01-08 03:15","2026-01-08 03:30","2026-01-08 11:30","long","DivergenceRegime","stop_loss",-1.0,-1.1230339622641503,0.12303396226415031,"gross_loss",0.005300000000000027,0.4102,0.4049,31.452736714609372,3.89700119844337,"rsi_bullish_divergence"
"DOT-USDT-SWAP","2025-07-23 21:15","2025-07-23 21:30","2025-07-23 21:30","long","DivergenceRegime","stop_loss",-1.0,-1.1227523465703977,0.12275234657039769,"gross_loss",0.05539999999999967,4.278,4.2226,32.669416272026965,6.629334781964541,"rsi_bullish_divergence"
"SATS-USDT-SWAP","2026-05-12 22:30","2026-05-12 22:45","2026-05-12 23:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1220601036269426,0.12206010362694264,"gross_loss",1.9300000000000047E-10,1.482E-8,1.4627E-8,33.372300600340424,4.069766067116029,"rsi_bullish_divergence"
"WIF-USDT-SWAP","2026-02-16 01:45","2026-02-16 02:00","2026-02-16 02:30","long","DivergenceRegime","stop_loss",-1.0,-1.1218666666666666,0.12186666666666657,"gross_loss",0.0030000000000000027,0.23,0.227,27.82895918032402,12.875836704786048,"rsi_bullish_divergence"
"KSM-USDT-SWAP","2025-10-11 03:30","2025-10-11 03:45","2025-10-11 04:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.120886486486486,0.12088648648648603,"gross_loss",0.1850000000000005,14.07,13.885,31.504118930283312,4.467336233796737,"rsi_bullish_divergence"
"1INCH-USDT-SWAP","2025-07-28 23:45","2025-07-29 00:00","2025-07-29 02:00","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1200547945205483,0.12005479452054835,"gross_loss",0.0036499999999999866,0.2757,0.27205,26.618740424804514,5.232805864540456,"rsi_bullish_divergence"
"ADA-USDT-SWAP","2025-10-11 03:30","2025-10-11 03:45","2025-10-11 04:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1188737864077674,0.11887378640776736,"gross_loss",0.010299999999999976,0.7704,0.7601,33.65536470791531,4.365750895567676,"rsi_bullish_divergence"
"RENDER-USDT-SWAP","2025-07-29 03:00","2025-07-29 03:15","2025-07-29 03:45","long","DivergenceRegime","stop_loss",-1.0,-1.1174285714285712,0.11742857142857122,"gross_loss",0.05600000000000005,4.138,4.082,38.64756585023877,3.934263717065838,"rsi_bullish_divergence"
"1INCH-USDT-SWAP","2025-10-11 03:30","2025-10-11 03:45","2025-10-11 04:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1171753086419756,0.11717530864197556,"gross_loss",0.003239999999999993,0.2389,0.23566,33.38056442473457,8.32790343372788,"rsi_bullish_divergence"
"WOO-USDT-SWAP","2025-07-29 01:15","2025-07-29 01:30","2025-07-29 02:00","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1162352941176463,0.11623529411764633,"gross_loss",0.001020000000000007,0.07461,0.07358999999999999,32.262904036115884,3.5549889712564906,"rsi_bullish_divergence"
"LDO-USDT-SWAP","2026-06-04 04:15","2026-06-04 04:30","2026-06-04 04:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1155317073170734,0.1155317073170734,"gross_loss",0.0040999999999999925,0.2981,0.294,31.729543456763892,9.293567439706703,"rsi_bullish_divergence"
"GPS-USDT-SWAP","2025-07-29 03:30","2025-07-29 03:45","2025-07-29 04:15","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1150561151079135,0.11505611510791347,"gross_loss",0.00027800000000000047,0.02013,0.019851999999999998,20.97661043176565,3.5070668635942623,"rsi_bullish_divergence"
"DOT-USDT-SWAP","2025-10-31 01:15","2025-10-31 01:30","2025-10-31 03:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1148923076923072,0.11489230769230718,"gross_loss",0.039000000000000146,2.82,2.7809999999999997,25.70797317492854,3.4051880782506645,"rsi_bullish_divergence"
"WIF-USDT-SWAP","2025-10-22 13:15","2025-10-22 13:30","2025-10-22 17:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1147830985915494,0.11478309859154945,"gross_loss",0.007099999999999995,0.5129,0.5058,27.933652395807343,7.0139854243047175,"rsi_bullish_divergence"
"TURBO-USDT-SWAP","2026-02-04 23:00","2026-02-04 23:15","2026-02-04 23:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1147449101796412,0.11474491017964117,"gross_loss",0.000016699999999999918,0.001206,0.0011893000000000001,37.578135369875305,4.523564891042203,"rsi_bullish_divergence"
"ONE-USDT-SWAP","2025-07-29 00:15","2025-07-29 00:30","2025-07-29 02:00","long","CounterTrendStructureV4","stop_loss",-1.0,-1.11416855345912,0.11416855345911991,"gross_loss",0.00015899999999999942,0.011425,0.011266,25.883186431106395,3.6440945002332676,"rsi_bullish_divergence"
