iteration	phase	backtest_id	profit	win_rate	sharpe_ratio	max_drawdown	volatility	open_positions_num	score	beats_profit	beats_win_rate	beats_drawdown	strict_dominator	params_json
21	1	15711	2042.86	0.477745	1.70294	0.368447	0.551189	676	-2080.0454	False	False	True	False	"{""atr_take_profit_ratio"":2.54,""bb_width_threshold"":0.03,""chase_min_body_ratio"":0.43,""extreme_min_body_ratio"":0.72,""extreme_min_move_pct"":0.011,""fib_min_volume_ratio"":2.33,""fib_stop_loss_buffer_ratio"":0.012,""fib_trigger_high"":0.632,""fib_trigger_low"":0.307,""fixed_profit_percent_take_profit"":0.045,""leg_size"":6,""long_threshold"":0.219,""max_loss_percent"":0.043,""min_total_weight"":2.11,""pullback_touch_threshold"":0.04,""rsi_overbought"":82.8,""rsi_oversold"":13.0,""short_threshold"":0.102,""tp_kline_ratio"":0.59,""volume_increase_ratio"":3.07,""weight_bolling"":0.98,""weight_engulfing"":1.02,""weight_fvg"":1.54,""weight_kline_hammer"":0.82,""weight_leg"":0.96}"
22	1	15712	3294.47	0.508013	2.21788	0.286821	0.51652	625	101807.7031	True	True	True	True	"{""atr_take_profit_ratio"":3.24,""bb_width_threshold"":0.033,""chase_min_body_ratio"":0.55,""extreme_min_body_ratio"":0.72,""extreme_min_move_pct"":0.012,""fib_min_volume_ratio"":2.21,""fib_stop_loss_buffer_ratio"":0.009,""fib_trigger_high"":0.596,""fib_trigger_low"":0.354,""fixed_profit_percent_take_profit"":0.057,""leg_size"":8,""long_threshold"":0.174,""max_loss_percent"":0.041,""min_total_weight"":2.13,""pullback_touch_threshold"":0.045,""rsi_overbought"":85.4,""rsi_oversold"":11.0,""short_threshold"":0.097,""tp_kline_ratio"":0.6,""volume_increase_ratio"":2.51,""weight_bolling"":1.08,""weight_engulfing"":0.85,""weight_fvg"":1.35,""weight_kline_hammer"":0.9,""weight_leg"":0.79}"
23	1	15713	5656.98	0.501618	2.70272	0.291692	0.52272	618	104602.7172	True	True	True	True	"{""atr_take_profit_ratio"":3.18,""bb_width_threshold"":0.03,""chase_min_body_ratio"":0.49,""extreme_min_body_ratio"":0.63,""extreme_min_move_pct"":0.012,""fib_min_volume_ratio"":1.91,""fib_stop_loss_buffer_ratio"":0.006,""fib_trigger_high"":0.642,""fib_trigger_low"":0.294,""fixed_profit_percent_take_profit"":0.056,""leg_size"":8,""long_threshold"":0.182,""max_loss_percent"":0.04,""min_total_weight"":2.15,""pullback_touch_threshold"":0.056,""rsi_overbought"":87.0,""rsi_oversold"":15.9,""short_threshold"":0.128,""tp_kline_ratio"":0.64,""volume_increase_ratio"":3.09,""weight_bolling"":0.92,""weight_engulfing"":0.84,""weight_fvg"":1.21,""weight_kline_hammer"":0.93,""weight_leg"":0.76}"
24	1	15714	2838.69	0.465969	1.84031	0.374533	0.584867	767	-1597.8972	False	False	True	False	"{""atr_take_profit_ratio"":3.24,""bb_width_threshold"":0.027,""chase_min_body_ratio"":0.48,""extreme_min_body_ratio"":0.68,""extreme_min_move_pct"":0.01,""fib_min_volume_ratio"":2.21,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.608,""fib_trigger_low"":0.351,""fixed_profit_percent_take_profit"":0.052,""leg_size"":8,""long_threshold"":0.158,""max_loss_percent"":0.042,""min_total_weight"":1.88,""pullback_touch_threshold"":0.058,""rsi_overbought"":89.8,""rsi_oversold"":15.7,""short_threshold"":0.099,""tp_kline_ratio"":0.65,""volume_increase_ratio"":2.96,""weight_bolling"":0.97,""weight_engulfing"":0.86,""weight_fvg"":1.27,""weight_kline_hammer"":0.8,""weight_leg"":0.97}"
25	1	15715	1847.28	0.490446	1.80796	0.317581	0.496665	629	-1203.1253	False	True	True	False	"{""atr_take_profit_ratio"":3.01,""bb_width_threshold"":0.032,""chase_min_body_ratio"":0.42,""extreme_min_body_ratio"":0.68,""extreme_min_move_pct"":0.009,""fib_min_volume_ratio"":2.15,""fib_stop_loss_buffer_ratio"":0.006,""fib_trigger_high"":0.58,""fib_trigger_low"":0.335,""fixed_profit_percent_take_profit"":0.058,""leg_size"":9,""long_threshold"":0.162,""max_loss_percent"":0.039,""min_total_weight"":2.01,""pullback_touch_threshold"":0.035,""rsi_overbought"":88.4,""rsi_oversold"":14.3,""short_threshold"":0.086,""tp_kline_ratio"":0.65,""volume_increase_ratio"":2.71,""weight_bolling"":0.93,""weight_engulfing"":0.86,""weight_fvg"":1.3,""weight_kline_hammer"":0.88,""weight_leg"":0.91}"
26	1	15716	3007.07	0.447195	1.92362	0.338507	0.57441	606	-1767.2989	False	False	True	False	"{""atr_take_profit_ratio"":3.44,""bb_width_threshold"":0.024,""chase_min_body_ratio"":0.45,""extreme_min_body_ratio"":0.58,""extreme_min_move_pct"":0.014,""fib_min_volume_ratio"":2.5,""fib_stop_loss_buffer_ratio"":0.008,""fib_trigger_high"":0.645,""fib_trigger_low"":0.31,""fixed_profit_percent_take_profit"":0.051,""leg_size"":6,""long_threshold"":0.185,""max_loss_percent"":0.044,""min_total_weight"":2.12,""pullback_touch_threshold"":0.053,""rsi_overbought"":88.6,""rsi_oversold"":16.4,""short_threshold"":0.119,""tp_kline_ratio"":0.59,""volume_increase_ratio"":2.9,""weight_bolling"":1.09,""weight_engulfing"":0.86,""weight_fvg"":1.63,""weight_kline_hammer"":0.81,""weight_leg"":0.91}"
27	1	15717	1674.23	0.458853	1.50381	0.446911	0.569927	805	-4130.76	False	False	False	False	"{""atr_take_profit_ratio"":3.29,""bb_width_threshold"":0.024,""chase_min_body_ratio"":0.48,""extreme_min_body_ratio"":0.65,""extreme_min_move_pct"":0.013,""fib_min_volume_ratio"":1.98,""fib_stop_loss_buffer_ratio"":0.013,""fib_trigger_high"":0.635,""fib_trigger_low"":0.294,""fixed_profit_percent_take_profit"":0.051,""leg_size"":8,""long_threshold"":0.189,""max_loss_percent"":0.037,""min_total_weight"":1.96,""pullback_touch_threshold"":0.042,""rsi_overbought"":86.2,""rsi_oversold"":10.3,""short_threshold"":0.131,""tp_kline_ratio"":0.54,""volume_increase_ratio"":2.85,""weight_bolling"":0.91,""weight_engulfing"":0.87,""weight_fvg"":1.67,""weight_kline_hammer"":0.82,""weight_leg"":1.05}"
28	1	15718	1969.91	0.47281	1.66512	0.306577	0.554338	663	-1912.171	False	False	True	False	"{""atr_take_profit_ratio"":3.39,""bb_width_threshold"":0.03,""chase_min_body_ratio"":0.61,""extreme_min_body_ratio"":0.72,""extreme_min_move_pct"":0.015,""fib_min_volume_ratio"":1.94,""fib_stop_loss_buffer_ratio"":0.009,""fib_trigger_high"":0.667,""fib_trigger_low"":0.312,""fixed_profit_percent_take_profit"":0.052,""leg_size"":6,""long_threshold"":0.192,""max_loss_percent"":0.043,""min_total_weight"":2.0,""pullback_touch_threshold"":0.059,""rsi_overbought"":86.6,""rsi_oversold"":17.6,""short_threshold"":0.098,""tp_kline_ratio"":0.63,""volume_increase_ratio"":2.23,""weight_bolling"":0.84,""weight_engulfing"":1.07,""weight_fvg"":1.51,""weight_kline_hammer"":0.78,""weight_leg"":0.77}"
29	1	15719	3463.18	0.475385	2.24158	0.374771	0.521389	650	3.2349	True	False	True	False	"{""atr_take_profit_ratio"":3.2,""bb_width_threshold"":0.029,""chase_min_body_ratio"":0.61,""extreme_min_body_ratio"":0.72,""extreme_min_move_pct"":0.011,""fib_min_volume_ratio"":1.93,""fib_stop_loss_buffer_ratio"":0.007,""fib_trigger_high"":0.634,""fib_trigger_low"":0.349,""fixed_profit_percent_take_profit"":0.059,""leg_size"":8,""long_threshold"":0.169,""max_loss_percent"":0.039,""min_total_weight"":2.05,""pullback_touch_threshold"":0.057,""rsi_overbought"":86.4,""rsi_oversold"":12.4,""short_threshold"":0.134,""tp_kline_ratio"":0.67,""volume_increase_ratio"":2.55,""weight_bolling"":1.06,""weight_engulfing"":1.08,""weight_fvg"":1.45,""weight_kline_hammer"":0.75,""weight_leg"":0.96}"
30	1	15720	1548.09	0.483051	1.5644	0.411833	0.529505	709	-2917.4718	False	False	False	False	"{""atr_take_profit_ratio"":2.57,""bb_width_threshold"":0.032,""chase_min_body_ratio"":0.54,""extreme_min_body_ratio"":0.69,""extreme_min_move_pct"":0.014,""fib_min_volume_ratio"":2.02,""fib_stop_loss_buffer_ratio"":0.01,""fib_trigger_high"":0.608,""fib_trigger_low"":0.317,""fixed_profit_percent_take_profit"":0.054,""leg_size"":7,""long_threshold"":0.169,""max_loss_percent"":0.043,""min_total_weight"":1.9,""pullback_touch_threshold"":0.051,""rsi_overbought"":89.7,""rsi_oversold"":13.9,""short_threshold"":0.092,""tp_kline_ratio"":0.53,""volume_increase_ratio"":2.21,""weight_bolling"":0.95,""weight_engulfing"":0.96,""weight_fvg"":1.68,""weight_kline_hammer"":0.89,""weight_leg"":0.79}"
